Date,Weekly Deaths
Jan 11 2020,1
Jan 18 2020,2
Jan 25 2020,3
Feb 1 2020,0
Feb 8 2020,4
Feb 15 2020,6
Feb 22 2020,6
Feb 29 2020,9
Mar 7 2020,38
Mar 14 2020,60
Mar 21 2020,586
Mar 28 2020,3211
Apr 4 2020,10113
Apr 11 2020,16306
Apr 18 2020,17201
Apr 25 2020,15525
May 2 2020,13200
May 9 2020,11223
May 16 2020,9229
May 23 2020,7229
May 30 2020,6160
Jun 6 2020,5046
Jun 13 2020,4227
Jun 20 2020,3844
Jun 27 2020,3835
Jul 4 2020,4540
Jul 11 2020,5770
Jul 18 2020,7166
Jul 25 2020,8229
Aug 1 2020,8285
Aug 8 2020,7848
Aug 15 2020,7248
Aug 22 2020,6374
Aug 29 2020,5739
Sep 5 2020,5010
Sep 12 2020,4618
Sep 19 2020,4273
Sep 26 2020,4296
Oct 3 2020,4240
Oct 10 2020,4813
Oct 17 2020,5195
Oct 24 2020,5990
Oct 31 2020,7019
Nov 7 2020,8754
Nov 14 2020,10644
Nov 21 2020,13343
Nov 28 2020,15615
Dec 5 2020,18545
Dec 12 2020,20913
Dec 19 2020,22314
Dec 26 2020,23364
Jan 2 2021,24845
Jan 9 2021,25974
Jan 16 2021,25692
Jan 23 2021,23687
Jan 30 2021,20322
Feb 6 2021,17034
Feb 13 2021,13519
Feb 20 2021,10807
Feb 27 2021,8654
Mar 6 2021,6731
Mar 13 2021,5725
Mar 20 2021,4893
Mar 27 2021,4461
Apr 3 2021,4197
Apr 10 2021,4313
Apr 17 2021,4450
Apr 24 2021,4601
May 1 2021,4165
May 8 2021,4006
May 15 2021,3678
May 22 2021,3238
May 29 2021,2770
Jun 5 2021,2347
Jun 12 2021,2035
Jun 19 2021,1776
Jun 26 2021,1635
Jul 3 2021,1543
Jul 10 2021,1645
Jul 17 2021,1991
Jul 24 2021,2760
Jul 31 2021,4105
Aug 7 2021,6484
Aug 14 2021,9406
Aug 21 2021,12181
Aug 28 2021,14174
Sep 4 2021,15493
Sep 11 2021,15417
Sep 18 2021,15211
Sep 25 2021,14347
Oct 2 2021,12830
Oct 9 2021,11180
Oct 16 2021,9878
Oct 23 2021,8941
Oct 30 2021,7960
Nov 6 2021,7287
Nov 13 2021,7159
Nov 20 2021,7310
Nov 27 2021,7886
Dec 4 2021,8781
Dec 11 2021,9734
Dec 18 2021,10250
Dec 25 2021,10458
Jan 1 2022,11677
Jan 8 2022,15125
Jan 15 2022,19078
Jan 22 2022,21335
Jan 29 2022,20966
Feb 5 2022,18756
Feb 12 2022,15317
Feb 19 2022,11566
Feb 26 2022,8290
Mar 5 2022,6041
Mar 12 2022,4404
Mar 19 2022,3127
Mar 26 2022,2505
Apr 2 2022,1908
Apr 9 2022,1552
Apr 16 2022,1410
Apr 23 2022,1345
Apr 30 2022,1426
May 7 2022,1433
May 14 2022,1676
May 21 2022,1742
May 28 2022,1940
Jun 4 2022,2007
Jun 11 2022,2139
Jun 18 2022,2194
Jun 25 2022,2329
Jul 2 2022,2420
Jul 9 2022,2588
Jul 16 2022,2929
Jul 23 2022,3226
Jul 30 2022,3401
Aug 6 2022,3373
Aug 13 2022,3284
Aug 20 2022,3166
Aug 27 2022,3050
Sep 3 2022,2926
Sep 10 2022,2808
Sep 17 2022,2513
Sep 24 2022,2546
Oct 1 2022,2377
Oct 8 2022,2194
Oct 15 2022,2147
Oct 22 2022,2198
Oct 29 2022,2242
Nov 5 2022,2248
Nov 12 2022,2201
Nov 19 2022,2256
Nov 26 2022,2497
Dec 3 2022,2592
Dec 10 2022,3036
Dec 17 2022,3187
Dec 24 2022,3319
Dec 31 2022,3659
Jan 7 2023,3871
Jan 14 2023,3688
Jan 21 2023,3258
Jan 28 2023,2914
Feb 4 2023,2642
Feb 11 2023,2347
Feb 18 2023,2101
Feb 25 2023,2153
Mar 4 2023,2000
Mar 11 2023,1849
Mar 18 2023,1761
Mar 25 2023,1668
Apr 1 2023,1449
Apr 8 2023,1373
Apr 15 2023,1217
Apr 22 2023,1197
Apr 29 2023,1027
May 6 2023,945
May 13 2023,838
May 20 2023,758
May 27 2023,742
Jun 3 2023,693
Jun 10 2023,633
Jun 17 2023,612
Jun 24 2023,583
Jul 1 2023,542
Jul 8 2023,492
Jul 15 2023,510
Jul 22 2023,540
Jul 29 2023,553
Aug 5 2023,673
Aug 12 2023,752
Aug 19 2023,921
Aug 26 2023,1067
Sep 2 2023,1187
Sep 9 2023,1313
Sep 16 2023,1410
Sep 23 2023,1417
Sep 30 2023,1456
Oct 7 2023,1398
Oct 14 2023,1315
Oct 21 2023,1392
Oct 28 2023,1292
Nov 4 2023,1246
Nov 11 2023,1394
Nov 18 2023,1431
Nov 25 2023,1424
Dec 2 2023,1731
Dec 9 2023,1793
Dec 16 2023,1845
Dec 23 2023,1935
Dec 30 2023,2230
Jan 6 2024,2493
Jan 13 2024,2580
Jan 20 2024,2360
Jan 27 2024,2134
Feb 3 2024,1744
Feb 10 2024,1619
Feb 17 2024,1389
Feb 24 2024,1324
Mar 2 2024,1267
Mar 9 2024,1100
Mar 16 2024,1040
Mar 23 2024,848
Mar 30 2024,737
Apr 6 2024,631
Apr 13 2024,569
Apr 20 2024,498
Apr 27 2024,427
May 4 2024,425
May 11 2024,335
May 18 2024,338
May 25 2024,343
Jun 1 2024,325
Jun 8 2024,313
Jun 15 2024,366
Jun 22 2024,430
Jun 29 2024,441
Jul 6 2024,522
Jul 13 2024,578
Jul 20 2024,716
Jul 27 2024,849
Aug 3 2024,974
Aug 10 2024,1053
Aug 17 2024,1072
Aug 24 2024,1232
Aug 31 2024,1340
Sep 7 2024,1207
Sep 14 2024,1223
Sep 21 2024,1084
Sep 28 2024,1012
Oct 5 2024,955
Oct 12 2024,793
Oct 19 2024,706
Oct 26 2024,614
Nov 2 2024,560
Nov 9 2024,485
Nov 16 2024,372
Nov 23 2024,161
